iter	Passed	Remaining
0	0	38
1	0	36
2	1	34
3	1	31
4	1	32
5	2	31
6	2	31
7	2	30
8	3	30
9	3	29
10	3	29
11	3	28
12	4	28
13	4	28
14	4	28
15	5	28
16	5	27
17	6	27
18	6	27
19	6	27
20	7	27
21	7	26
22	7	26
23	8	26
24	8	26
25	9	25
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	11	23
32	11	23
33	11	22
34	11	22
35	12	21
36	12	21
37	13	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	21	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
